Class,ClassEN,Name,NameEN,Area,Country,Address,Website,LAT,LNG,ifDeleted,TimeStamp
院校,University or College,北京中医药大学,Beijing University of Chinese Medicine,亚洲,中国,北京市朝阳区北三环东路11号,http://www.bucm.edu.cn,39.9766,116.433,FALSE,2015-10-11T07:34:41Z
院校,University or College,美洲中医学院,American College of TCM,北美洲,美国,"455 Arkansas Street, San Francisco 94107",http://www.actcm.edu,37.7605,-122.398,FALSE,2015-10-11T07:34:41Z
医疗机构,Hospital,中国中医科学院广安门医院,Guang'anmen Hospital China Academy of Chinses Medicine Science,亚洲,中国,北京市西城区北线阁5号,http://www.gamhospital.ac.cn,39.8892,116.345,FALSE,2015-10-11T07:34:41Z
院校,University or College,上海中医药大学,Shanghai University of Chinese Medicine,亚洲,中国,上海蔡伦路1200号,http://www.shutcm.edu.cn,31.1935,121.596,FALSE,2015-10-11T07:34:41Z
院校,University or College,南京中医药大学,Nanjing University of Chinese Medicine,亚洲,中国,南京仙林大学城仙林大道138号,http://www.njutcm.edu.cn,32.0619,118.562,FALSE,2015-10-11T07:34:41Z
